Name,Brand Name,Year of Manufacture,Distance Traveled,Fuel Type,Owner Type,Price
Honda WR-V 1.2L I-VTEC VX MT,Honda,2017,"95,683 km",Petrol,1st owner,₹6.70L
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2017,"40,354 km",Petrol,1st owner,₹5.10L
Datsun Redi Go T(O) 1.0,Datsun,2017,"27,984 km",Petrol,1st owner,₹3.41L
Maruti Ciaz ALPHA 1.5 SHVS PETROL,Maruti,2017,"23,327 km",Petrol,1st owner,₹9.96L
Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,Hyundai,2017,"61,638 km",Petrol,1st owner,₹6.66L
Renault Duster RXZ 1.3 TURBO PETROL MT,Renault,2017,"1,05,742 km",Petrol,1st owner,₹7.70L
Skoda Rapid STYLE 1.6 MPI AT,Skoda,2017,"1,06,132 km",Petrol,1st owner,₹7.02L
Renault TRIBER RXZ AMT,Renault,2017,"37,502 km",Petrol,1st owner,₹7.30L
Renault Kwid CLIMBER 1.0 AMT (O),Renault,2017,"44,865 km",Petrol,1st owner,₹4.99L
Maruti Alto VXI PLUS,Maruti,2017,"24,463 km",Petrol,1st owner,₹3.92L
Maruti Dzire VXI AMT,Maruti,2017,"49,950 km",Petrol,1st owner,₹7.64L
Tata NEXON XZ PLUS (O) PETROL,Tata,2017,"46,626 km",Petrol,1st owner,₹9.17L
Renault Kwid CLIMBER 1.0 AMT (O),Renault,2017,"18,513 km",Petrol,2nd owner,₹4.49L
Maruti Celerio ZXI,Maruti,2017,"69,332 km",Petrol,1st owner,₹4.60L
Hyundai i20 Active 1.2 SX,Hyundai,2017,"95,737 km",Petrol,2nd owner,₹5.72L
Hyundai VENUE SX 1.0 TURBO,Hyundai,2017,"51,652 km",Petrol,1st owner,₹8.85L
Maruti Celerio VXI (O),Maruti,2017,"28,358 km",Petrol,1st owner,₹4.75L
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Hyundai,2017,"24,312 km",Petrol,1st owner,₹5.26L
Volkswagen TAIGUN TOPLINE 1.0 TSI AT,Volkswagen,2017,"37,326 km",Petrol,1st owner,₹14.02L
Maruti Baleno ALPHA CVT PETROL 1.2,Maruti,2017,"32,201 km",Petrol,1st owner,₹7.46L
Maruti Alto K10 VXI,Maruti,2017,"47,066 km",Petrol,2nd owner,₹3.26L
Skoda Rapid STYLE 1.6 MPI,Skoda,2017,"81,413 km",Petrol,2nd owner,₹8.89L
Maruti New Wagon-R VXI 1.0 AMT,Maruti,2017,"95,456 km",Petrol,1st owner,₹4.65L
Maruti IGNIS DELTA 1.2,Maruti,2017,"85,064 km",Petrol,1st owner,₹4.65L
Renault Kwid RXT 1.0 (O),Renault,2017,"50,141 km",Petrol,2nd owner,₹4.06L
Tata Tiago XZA PLUS PETROL,Tata,2017,"41,884 km",Petrol,1st owner,₹6.35L
Hyundai VENUE SX 1.0 TURBO IMT,Hyundai,2017,"58,750 km",Petrol,2nd owner,₹8.26L
Hyundai NEW SANTRO SPORTZ MT,Hyundai,2017,"28,540 km",Petrol,1st owner,₹4.76L
Maruti Ciaz ALPHA 1.4 PETROL,Maruti,2017,"98,119 km",Petrol,1st owner,₹6.57L
Tata Tiago XT PETROL,Tata,2017,"52,679 km",Petrol,1st owner,₹5.55L
Maruti Celerio ZXI AMT,Maruti,2017,"47,616 km",Petrol,2nd owner,₹5.62L
Maruti S PRESSO VXI+,Maruti,2017,"18,842 km",Petrol,2nd owner,₹4.27L
Maruti Ciaz DELTA AT 1.5 SHVS PETROL,Maruti,2017,"55,281 km",Petrol,1st owner,₹6.72L
Honda Jazz 1.2L I-VTEC V,Honda,2017,"73,005 km",Petrol,1st owner,₹5.85L
